time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
7085.337352,8.933394196,11.39526607,-0.011042791,0.021764995,3.638967394,6.121176134,3.622741,3.7915006,0.05196863,0.064014321,6.45226602,3.3,4.3
7085.437343,8.95518092,11.43372344,-0.008787467,0.023690628,3.622783219,6.112885162,3.6246237,3.7939278,0.023057963,0.090510936,6.45652458,3.2,4.2
7085.537333,8.962433132,11.48739553,-0.007189809,0.025154098,3.591723586,6.084390586,3.6254595,3.7973617,0.030613002,0.082800686,6.45961742,3.1,4.1
7085.637324,8.97352384,11.54274482,-0.006525736,0.022233092,3.565110821,6.130228098,3.6265693,3.8005059,0.026564277,0.10870498,6.46366594,3,4
7085.737354,8.979090149,11.61464794,-0.00639816,0.02379414,3.480351671,6.206435516,3.6275327,3.8046373,0.009119103,0.13009536,6.46625993,2.9,3.9
7085.837344,8.966288262,11.68683743,-0.009562954,0.022783464,3.277393068,6.117888875,3.6278635,3.8095869,0.050866412,0.11161604,6.47000915,2.8,3.8
7085.937335,8.989031726,11.75526359,-0.008422158,0.024852727,3.276047809,6.114276257,3.6297089,3.813839,0.060590004,0.09170605,6.47382137,2.7,3.7
7086.037365,9.020160503,11.80789386,-0.008708035,0.024660585,3.317940303,6.076360324,3.6319081,3.8173365,0.11534181,0.18234804,6.47711375,2.6,3.6
7086.137355,9.072358237,11.93474159,-0.009025954,0.024258501,3.316222006,6.150658058,3.6360972,3.8242974,0.14220833,0.069697138,6.48010157,2.5,3.5
7086.237346,9.15297718,11.91606004,0.000126059,0.029744655,3.707164358,4.187386413,3.6412681,3.8269628,0.12025111,0.18474995,6.48391905,2.4,3.4
7086.337336,9.212651448,12.03878259,0.002002394,0.027265592,3.74691932,4.23289225,3.6456467,3.8340331,0.10593119,0.21366017,6.48738996,2.3,3.3
7086.437366,9.268459065,12.45893955,0.00111445,0.176079845,3.800839545,54.1082668,3.6495086,3.8422249,0.11934208,0.18451277,6.49007322,2.2,3.2
7086.537356,9.326102751,12.60667426,-0.000299153,0.170343178,3.811480517,53.31036478,3.653864,3.8493143,0.116961,0.20869146,6.49436329,2.1,3.1
7086.637347,9.38318071,12.74397928,0.001878102,0.169812197,3.83212788,52.21869074,3.6581376,3.8573475,0.12919102,0.18290712,6.49755064,2,3
7086.737377,9.449357864,12.86624247,0.001396297,0.166892229,3.907294938,51.27382077,3.6628636,3.8644029,0.13578205,0.20299943,6.50045445,1.9,2.9
7086.837367,9.51535804,13.00163056,0.000425623,0.163304141,3.905350318,50.28748211,3.6678371,3.8722476,0.15503403,0.22752241,6.50407239,1.8,2.8
7086.937358,9.592859764,13.15436014,-0.001888383,0.160413798,3.914833873,49.17663316,3.6735235,3.8810578,0.15835791,0.25755225,6.50682916,1.7,2.7
7087.037348,9.67134009,13.332102,-0.004049687,0.157867723,3.913903211,47.95356974,3.6793408,3.8910536,0.15307049,0.30076033,6.50906083,1.6,2.6
7087.137378,9.747480167,13.54609803,-0.003878002,0.152467377,3.908251087,46.54441778,3.6849728,3.9027563,0.17572465,0.31637927,6.51264202,1.5,2.5
7087.237369,9.824111903,13.77756807,-0.009887892,0.152845743,3.598902208,45.10349185,3.6914482,3.9151038,0.20735937,0.34833464,6.51527802,1.4,2.4
7087.337359,9.932171915,14.05710819,-0.008273799,0.152590585,3.646193653,43.79427946,3.6991028,3.9287415,0.23255388,0.33249244,6.5188697,1.3,2.3
7087.437389,10.04504537,14.0445552,-0.006435037,0.027214607,3.580231139,4.746600921,3.7077052,3.9418043,0.25498511,0.40858698,6.5212379,1.2,2.2
7087.537379,10.18337804,14.37596891,-0.004354409,0.031488977,3.656070172,4.770678651,3.7171593,3.95791,0.24821215,0.44835511,6.52339607,1.1,2.1
7087.63737,10.31526867,14.74476467,-0.007539973,0.034310695,3.657374251,4.877887229,3.7263857,3.9756554,0.31870018,0.4861954,6.52546496,1,2
7087.73736,10.49395791,15.14910333,-0.010424011,0.036002555,3.787007537,4.887018668,3.7382617,3.9949849,0.36801054,0.52573407,6.52861031,0.9,1.9
7087.83739,10.70829913,15.6198848,-0.007820654,0.035980408,3.906596808,5.06836262,3.7520189,4.0159879,0.40412568,0.66341486,6.53056368,0.8,1.8
7087.937381,10.99257879,17.30111785,-0.015765874,0.239340413,5.197022006,216.5652517,3.7671818,4.0426306,0.41846018,0.67101145,6.53215998,0.7,1.7
7088.037371,11.23861457,17.93571557,-0.017506948,0.224783921,5.179516692,201.8371307,3.7829459,4.0697571,0.48118831,0.69997751,6.53395058,0.6,1.6
7088.137401,11.53617357,18.65766225,-0.020394784,0.207199951,5.212858264,187.1717716,3.801149,4.0982445,0.61112251,0.7962641,6.53549437,0.5,1.5
7088.237392,11.9669623,19.46300322,-0.010973879,0.197265753,6.211001974,172.3025635,3.8243787,4.1308773,0.64604124,0.98124616,6.53684913,0.4,1.4
7088.337382,12.38312091,20.51659977,-0.006143463,0.191244522,6.05735687,155.3764665,3.8490858,4.1714114,0.92041862,1.2632886,6.53783631,0.3,1.3
7088.437373,13.04856988,22.13043257,0.003989315,0.17469459,6.121422383,135.5079816,3.8845135,4.2241083,1.1266906,1.4738313,6.53954814,0.2,1.2
7088.537403,13.86492642,24.05001337,0.015364558,0.153095115,5.876095787,115.4652193,3.9282799,4.2863646,1.6318401,2.1509689,6.5406246,0.1,1.1
7088.637393,15.16405012,27.45002688,0.017498947,0.130519076,5.592400719,90.59886606,3.9923832,4.3785629,3.1880422,3.591033,6.53943787,0,1
7088.737384,18.6558233,34.86915296,0.044626257,0.126120813,11.31539771,59.10298504,4.119662,4.5357986,7.7990552,7.9603025,6.53925408,7.501,0.9
