time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
6602.334362,9.723420889,12.63543389,-0.010044271,0.044589334,3.425140193,10.04084953,3.6853264,3.865905,0.13243638,0.22330659,5.79790215,2.2,3.5
6602.434353,9.793485854,12.78668937,-0.01190124,0.046153676,3.466629707,9.917321074,3.6902071,3.8745378,0.14650795,0.2762263,5.80105275,2.1,3.4
6602.534343,9.866272274,12.98530726,-0.012208605,0.047216131,3.458614728,9.789374439,3.6956135,3.8852403,0.18647174,0.24660313,5.80390404,2,3.3
6602.634334,9.96095138,13.17463997,-0.013897942,0.051838982,3.460342639,9.946290216,3.7025048,3.8948214,0.1569679,0.20734822,5.80791581,1.9,3.2
6602.734364,10.04824334,13.31645852,-0.014081536,0.048459727,3.613880237,9.795675848,3.7083165,3.9028973,0.15167802,0.35578503,5.81069359,1.8,3.1
6602.834354,10.12628933,13.58937913,-0.013140375,0.046651399,3.607795146,9.693096617,3.7139412,3.9167832,0.25215394,0.34551537,5.81343986,1.7,3
6602.934345,10.29968346,13.84873309,-0.01362863,0.046339773,4.612592435,9.464716276,3.7233061,3.9303163,0.2136536,0.35991065,5.81770892,1.6,2.9
6603.034375,10.41338361,14.14127997,-0.012598955,0.045980267,4.585688943,9.350287127,3.7312611,3.9444619,0.27464266,0.31811853,5.82051821,1.5,2.8
6603.134365,10.56771604,14.38896537,-0.009409844,0.046765125,4.627816435,9.163765029,3.7415087,3.95701,0.23131446,0.41780876,5.82251884,1.4,2.7
6603.234356,10.69373722,14.73133408,-0.008028488,0.044308269,4.592853848,8.964068585,3.7501633,3.9735427,0.31542345,0.43804979,5.82570095,1.3,2.6
6603.334346,10.88571692,15.03191508,-0.003285884,0.027264989,4.72037641,4.537202332,3.7619922,3.9909488,0.29156608,0.4625135,5.82771733,1.2,2.5
