time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
3499.890433,135028.0905,209088.7207,0.125992898,0.589043469,1416.390688,1013.239861,6.881659257,7.162493799,0.742157928,0.721017084,2.16691,8.901,0.1
3499.990436,134632.1778,206676.2878,0.126016496,0.609063111,1424.71499,1034.930751,6.830586477,7.110850995,0.696500105,0.671014265,2.17429,8.801,0
3500.09044,134335.4238,206339.2456,0.126980074,0.611195896,1430.963012,1038.289085,6.783011435,7.063136171,0.899793739,1.253547579,2.22198,8.701,8.801
3500.190443,134168.0224,205468.6906,0.12684065,0.615247828,1434.532802,1047.072176,6.721978323,6.974596398,3.6476906,3.0593284,2.33025,8.601,8.701
3500.2904,1537.8852,2428.0548,0.06957274,0.19444681,108.13222,132.91511,6.4767813,6.7612206,3.8323985,3.8770875,2.36468,8.501,8.601
3500.39044,1100.99828,1795.90726,0.18648893,0.195759756,138.635721,202.335626,6.2285653,6.4990822,2.2143278,1.8250292,2.37754,8.401,8.501
3500.49044,954.848775,1672.44812,0.15959144,0.209310566,165.122826,229.566707,6.0906444,6.380472,1.2099728,1.1470933,2.3927,8.301,8.401
3500.59045,888.125168,1636.97554,0.427259352,0.19925323,172.404516,243.756475,6.0169493,6.307282,1.1480941,1.0889447,2.40204,8.201,8.301
3500.69045,866.888691,1506.7698,0.279139043,0.203448784,233.336069,243.197076,5.947869,6.2385992,0.94745759,1.2525748,2.41373,8.101,8.201
3500.79045,856.089941,1404.71286,0.288514158,0.226635566,246.100059,266.04797,5.8915155,6.1604561,1.0753776,1.2784389,2.42745,8.001,8.101
3500.89044,808.191554,1278.26642,0.224620811,0.00898211,249.202788,281.374077,5.8281595,6.0816984,0.88864162,1.3321357,2.43394,7.901,8.001
3500.99045,800.25409,1123.21369,0.189562016,-0.211907781,256.470692,302.634394,5.776368,6.000682,0.60183417,0.76542665,2.4435,7.801,7.901
3501.09045,717.734322,1019.16713,0.062026336,0.013884537,232.384864,253.655597,5.7416039,5.9547511,0.24842328,0.059122316,2.45573,7.701,7.801
3501.19045,713.516353,1018.07084,-0.067247265,-0.024959441,221.730978,253.117353,5.7273404,5.9512306,0.31699939,0.3674517,2.46677,7.601,7.701
3501.29045,713.128898,1000.41485,-0.065013759,-0.10514848,225.100184,251.168705,5.7091847,5.9293627,0.11290488,0.082687873,2.47877,7.501,7.601
3501.39045,815.411084,1018.13471,-0.160647721,-0.078308143,335.5111,248.605385,5.7156307,5.9244598,0.21906833,0.35626028,2.49154,7.401,7.501
