time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
3799.227,3047.3506,3916.7009,-0.39355633,0.14083904,376.09628,575.41061,6.459037895,6.642394647,0.247536,0.12687202,3.24054,1.7,0.1
3799.327,2925.7123,4311.3092,-0.35685074,0.080951121,381.39807,655.42353,6.4750263,6.650822,0.29334347,0.26668391,3.24394,1.6,0
3799.427,2985.1739,4689.7818,-0.44036574,-0.15478695,375.6236,630.6754,6.4940204,6.6685587,0.50430414,0.60678363,3.25118,1.5,1.7
3799.527,3078.9752,5332.1082,-0.46131436,-0.32559601,349.69202,640.30557,6.52677,6.7090224,0.38465768,0.39427787,3.25567,1.4,1.6
3799.627,3590.3437,5121.3741,-0.49657309,-0.39920328,357.05463,591.33339,6.5518757,6.7354746,0.75983792,0.34492804,3.25983,1.3,1.5
3799.727,3806.1215,5223.0583,-0.42604153,-0.35678112,324.41627,573.58452,6.6016594,6.7587071,0.57436103,0.78276133,3.26557,1.2,1.4
3799.827,4143.2239,5762.756,-0.37461808,-0.2545198,303.82041,488.72828,6.6395767,6.8116117,0.14779953,0.21012277,3.27127,1.1,1.3
3799.927,4099.3129,5931.337,-0.37521212,-0.23658253,301.85175,471.50619,6.64939,6.8259244,0.50633934,0.5798575,3.27573,1,1.2
3800.027,4395.6121,6559.9894,-0.34905992,0.086669948,281.41181,489.0237,6.6830585,6.865505,0.071739884,0.15942551,3.28181,0.9,1.1
3800.127,4102.8669,6878.3668,-0.14192747,0.1058492,206.0256,475.96816,6.6782641,6.8764504,0.014712817,0.22744438,3.28513,0.8,1
3800.227,4219.2717,7832.6001,-0.17807767,0.13391491,200.61765,443.48162,6.6772815,6.8920905,0.199939,0.69843199,3.29062,0.7,0.9
3800.327,4289.5318,9008.3545,-0.15610028,0.070584267,196.45906,528.84581,6.690632,6.9402271,3.698942261,3.497338237,3.29464,0.6,0.8
3800.427036,202129.7001,247997.7036,0.340440042,-0.602042368,1090.792064,848.692679,6.938114604,7.182950286,0.998880877,0.970977907,3.29879,0.5,0.7
3800.52704,202153.4172,247534.4925,0.340274029,-0.603095002,1090.535522,851.8026805,7.007418104,7.252695147,0.084032218,0.074782299,3.30221,0.4,0.6
3800.627031,201660.4661,247299.0172,0.341665121,-0.603703557,1095.841798,853.4226654,7.001529615,7.258118879,0.146509141,0.212623331,3.30454,0.3,0.5
3800.727035,201378.7655,247252.0891,0.342532837,-0.603962726,1098.899912,853.7434441,6.991271734,7.273551333,0.264427151,0.076396477,3.30992,0.2,0.4
3800.827039,200997.582,247191.7196,0.3436532,-0.604280352,1103.058537,854.1714668,6.972784914,7.267994596,0.134511408,0.171210591,3.31249,0.1,0.3
3800.927042,200936.3782,247173.7314,0.343628713,-0.604469604,1103.731102,854.2995719,6.963405722,7.255551019,0.551891155,0.664223721,2.56882,0,0.2
3801.027045,200556.9648,246188.7836,0.344605616,-0.609262962,1107.900516,861.0344285,6.924975302,7.207357928,0.520040098,0.591163865,2.56168,4.5,0.1
3801.127037,200409.8521,245645.5478,0.344938504,-0.611448264,1109.526208,864.8203809,6.888962654,7.164750633,0.596446769,0.376168596,2.61612,4.4,0
3801.227041,200171.1131,245318.4874,0.345489997,-0.613396157,1112.171885,867.0970754,6.847873659,7.137799091,0.580005837,0.702961022,2.73479,4.3,4.5
3801.327044,199966.661,243704.7287,0.346303533,-0.619332379,1114.44534,878.2967419,6.808155592,7.087623145,4.6949592,4.1182704,2.77378,4.2,4.4
3801.427,1895.9499,4066.5847,-0.12678532,-0.042518391,154.32971,369.09849,6.4885155,6.7957357,1.7272694,1.614894,2.78717,4.1,4.3
3801.5271,1868.9835,4118.6713,-0.12022511,-0.061649508,187.48774,407.61285,6.3764413,6.6859917,1.3238571,1.3086374,2.79962,4,4.2
3801.627,1800.7109,4259.7044,-0.10927109,-0.12968392,207.57883,422.51927,6.2920263,6.5984963,1.8685032,1.5901239,2.81065,3.9,4.1
3801.727,1615.1655,3989.3383,-0.2092321,-0.1271358,241.52603,473.79399,6.1744596,6.4935721,1.1848885,1.1289054,2.82147,3.8,4
